epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9388,5.96782,6.86307,3.7302,0,0,0,0,7.08153,6.39393,3.44492,0.0793,0.0023,0.0023
2,19.2957,3.02923,1.97935,1.76121,0.47619,0.0048,0.24185,0.04581,3.99198,4.27918,1.60574,0.0576418,0.00464184,0.00464184
3,26.681,2.20466,1.28507,1.30931,0.52203,0.59174,0.5303,0.12985,3.14278,3.5526,1.42588,0.0359243,0.00692427,0.00692427
4,34.2338,2.0278,1.19797,1.18429,0.88528,0.59304,0.82189,0.38848,1.90095,1.99168,1.15453,0.0141473,0.00914731,0.00914731
5,41.6902,1.8568,1.12937,1.11781,0.83976,0.86263,0.89747,0.34509,1.89184,1.15307,1.18288,0.009505,0.009505,0.009505
6,48.8714,1.69884,1.07346,1.0584,0.92647,0.87152,0.94507,0.55609,1.36587,0.85823,0.98555,0.00938125,0.00938125,0.00938125
7,56.3266,1.59605,0.97818,1.03209,0.88808,0.9001,0.9441,0.40825,1.88217,0.90671,1.11948,0.0092575,0.0092575,0.0092575
8,63.5297,1.53001,0.92271,1.00047,0.91265,0.91838,0.94809,0.56097,1.39372,0.78253,0.98681,0.00913375,0.00913375,0.00913375
9,70.9405,1.5262,0.85462,0.99121,0.87815,0.9025,0.93585,0.48477,1.64174,0.9849,1.03855,0.00901,0.00901,0.00901
10,78.1669,1.42208,0.839,0.97446,0.93304,0.89683,0.95953,0.54872,1.37018,0.7927,0.96016,0.00888625,0.00888625,0.00888625
11,85.3803,1.38938,0.78818,0.96254,0.92271,0.92939,0.9577,0.61069,1.18218,0.72949,0.92914,0.0087625,0.0087625,0.0087625
12,92.8406,1.37627,0.76751,0.96059,0.93673,0.92075,0.95896,0.56956,1.37299,0.68485,0.95445,0.00863875,0.00863875,0.00863875
13,100.015,1.37957,0.72928,0.95048,0.9515,0.91394,0.96296,0.58762,1.3424,0.66922,0.9513,0.008515,0.008515,0.008515
14,107.677,1.31531,0.76463,0.93795,0.95169,0.93372,0.96968,0.65535,1.08394,0.66221,0.89867,0.00839125,0.00839125,0.00839125
